T_wall_C,p_T2_Pa,mdot_he_kg_s,J_T2_mol_m2_s,J_sieverts_mol_m2_s,p_surf_over_p_bulk,K_eff_mol_m2_s_Pa,Re_tube,Lambda
3.600000000000000000e+02,1.000000000000000000e+02,1.000000000000000056e-01,9.569738845144411471e-10,9.569741751321110237e-10,9.999993926322501281e-01,1.575608656638806008e-05,3.279131731094550446e+02,1.725255663534532234e-07
3.600000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e-01,9.569738845144411471e-10,9.569741751321110237e-10,9.999993926322501281e-01,1.575608656638806008e-05,1.639565865547274598e+03,1.725255663534532234e-07
3.600000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,9.569739650864888027e-10,9.569741751321110237e-10,9.999995610213846531e-01,2.180001329046787241e-05,3.279131731094549195e+03,1.725255663534532234e-07
3.600000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,9.569741077728624836e-10,9.569741751321110237e-10,9.999998592245269435e-01,6.797875279435928433e-05,6.558263462189098391e+03,1.725255663534532234e-07
3.800000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,1.606909031797718095e-10,1.606917039589999313e-10,9.999900333718153567e-01,1.612289534698100994e-05,3.211512593321528470e+02,2.577273519316193643e-06
3.800000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,1.606909031797718095e-10,1.606917039589999313e-10,9.999900333718153567e-01,1.612289534698100994e-05,1.605756296660764065e+03,2.577273519316193643e-06
3.800000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.606911103077552844e-10,1.606917039589999313e-10,9.999926113155384044e-01,2.174827077173587995e-05,3.211512593321528129e+03,2.577273519316193643e-06
3.800000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,1.606915107498991140e-10,1.606917039589999313e-10,9.999975952836405169e-01,6.682347799860553436e-05,6.423025186643056259e+03,2.577273519316193643e-06
3.800000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,2.783253948317333375e-10,2.783261956118047700e-10,9.999942457524150230e-01,1.612289534698100994e-05,3.211512593321528470e+02,1.487989560152498770e-06
3.800000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e-01,2.783253948317333375e-10,2.783261956118047700e-10,9.999942457524150230e-01,1.612289534698100994e-05,1.605756296660764065e+03,1.487989560152498770e-06
3.800000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,2.783256019600966434e-10,2.783261956118047700e-10,9.999957341343762574e-01,2.174827077173587995e-05,3.211512593321528129e+03,1.487989560152498770e-06
3.800000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,2.783260024026548906e-10,2.783261956118047700e-10,9.999986116356569532e-01,6.682347799860553436e-05,6.423025186643056259e+03,1.487989560152498770e-06
3.800000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,5.081509848233437841e-10,5.081517856039361853e-10,9.999968482646952594e-01,1.612289534698100994e-05,3.211512593321528470e+02,8.150054474277137251e-07
3.800000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,5.081509848233437841e-10,5.081517856039361853e-10,9.999968482646952594e-01,1.612289534698100994e-05,1.605756296660764065e+03,8.150054474277137251e-07
3.800000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+00,5.081511919519416991e-10,5.081517856039361853e-10,9.999976634869167658e-01,2.174827077173587995e-05,3.211512593321528129e+03,8.150054474277137251e-07
3.800000000000000000e+02,1.000000000000000000e+01,2.000000000000000000e+00,5.081515923947559070e-10,5.081517856039361853e-10,9.999992395612922191e-01,6.682347799860553436e-05,6.423025186643056259e+03,8.150054474277137251e-07
3.800000000000000000e+02,3.000000000000000000e+01,1.000000000000000056e-01,8.801439098420056782e-10,8.801447106228647416e-10,9.999981803435616934e-01,1.612289534698100994e-05,3.211512593321528470e+02,4.705436144634019423e-07
3.800000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,8.801439098420056782e-10,8.801447106228647416e-10,9.999981803435616934e-01,1.612289534698100994e-05,1.605756296660764065e+03,4.705436144634019423e-07
3.800000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,8.801441169707237411e-10,8.801447106228647416e-10,9.999986510128764383e-01,2.174827077173587995e-05,3.211512593321528129e+03,4.705436144634019423e-07
3.800000000000000000e+02,3.000000000000000000e+01,2.000000000000000000e+00,8.801445174136688503e-10,8.801447106228647416e-10,9.999995609604368507e-01,6.682347799860553436e-05,6.423025186643056259e+03,4.705436144634019423e-07
3.800000000000000000e+02,1.000000000000000000e+02,1.000000000000000056e-01,1.606916238808975589e-09,1.606917039589999365e-09,9.999990033327115224e-01,1.612289534698100994e-05,3.211512593321528470e+02,2.577273519316193961e-07
3.800000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e-01,1.606916238808975589e-09,1.606917039589999365e-09,9.999990033327115224e-01,1.612289534698100994e-05,1.605756296660764065e+03,2.577273519316193961e-07
3.800000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,1.606916445937767684e-09,1.606917039589999365e-09,9.999992611290970945e-01,2.174827077173587995e-05,3.211512593321528129e+03,2.577273519316193961e-07
3.800000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,1.606916846380794168e-09,1.606917039589999365e-09,9.999997595281040486e-01,6.682347799860553436e-05,6.423025186643056259e+03,2.577273519316193961e-07
4.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,2.616421627777151424e-10,2.616442389070233596e-10,9.999841301984715436e-01,1.648679489197086372e-05,3.147265301288249475e+02,3.759324948827974307e-06
4.000000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,2.616421627777151424e-10,2.616442389070233596e-10,9.999841301984715436e-01,1.648679489197086372e-05,1.573632650644124396e+03,3.759324948827974307e-06
4.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.616426625580422389e-10,2.616442389070233596e-10,9.999879504762717586e-01,2.171394226489224477e-05,3.147265301288248793e+03,3.759324948827974307e-06
4.000000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,2.616437181820633073e-10,2.616442389070233596e-10,9.999960195994069823e-01,6.573301156227957852e-05,6.294530602576497586e+03,3.759324948827974307e-06
4.000000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,4.531790391618644602e-10,4.531811152946540739e-10,9.999908375350873291e-01,1.648679489197086372e-05,3.147265301288249475e+02,2.170447271177107029e-06
